Geom;DIAMETER_MM;INSTALLATION_DATE;LINING_MATERIAL;MATERIAL;geo_point_2d
"{""coordinates"": [[-123.02514880920859, 49.231777678132616], [-123.02515717447993, 49.23148047312283]], ""type"": ""LineString""}";600;1994-01-01;Cement Lined;Ductile Iron;49.23162907562772, -123.02515299184427
"{""coordinates"": [[-123.06587578575201, 49.260839456751214], [-123.0658533640893, 49.26090767120655]], ""type"": ""LineString""}";400;1993-01-01;Cement Lined;Ductile Iron;49.26087356397888, -123.06586457492067
"{""coordinates"": [[-123.06585201485251, 49.26219707204668], [-123.06585233657812, 49.26218062862529]], ""type"": ""LineString""}";400;1993-01-01;Cement Lined;Ductile Iron;49.26218885033599, -123.06585217571532
"{""coordinates"": [[-123.13502870763533, 49.22685162436193], [-123.13502720273614, 49.22685378498456], [-123.13502556171859, 49.22685639552951], [-123.13502433297751, 49.22685909554522], [-123.13502324158014, 49.22686179540036], [-123.13502269980319, 49.226864584565725], [-123.13502229537004, 49.226867373570556], [-123.13500753313977, 49.227236196671484]], ""type"": ""LineString""}";675;1960-01-01;Coal Tar;Steel;49.227043184629, -123.13501535311256
"{""coordinates"": [[-123.18583318681083, 49.25019179890109], [-123.18654431394509, 49.25019388215458]], ""type"": ""LineString""}";450;1930-01-01;CENT;Steel;49.250192840527845, -123.18618875037797
"{""coordinates"": [[-123.1330685413621, 49.20854372951334], [-123.13322643545051, 49.20854615614014]], ""type"": ""LineString""}";450;1961-01-01;Cement Lined;Cast Iron;49.208544942826734, -123.1331474884063
"{""coordinates"": [[-123.15085660281595, 49.256943765223994], [-123.15079944172706, 49.25690156231731]], ""type"": ""LineString""}";1800;1967-01-01;blank;Steel;49.25692266377065, -123.15082802227148
"{""coordinates"": [[-123.11308546101617, 49.259424297480365], [-123.1130864968394, 49.25939643829231]], ""type"": ""LineString""}";600;1998-01-01;Cement Lined;Ductile Iron;49.25941036788634, -123.11308597892778
"{""coordinates"": [[-123.1542604978309, 49.24115121846046], [-123.15372455560976, 49.241538296539744], [-123.15358057173219, 49.24197547692756]], ""type"": ""LineString""}";800;1940-01-01;blank;Steel;49.241513918377166, -123.15385298687963
"{""coordinates"": [[-123.15352929938888, 49.24214394500546], [-123.15319817937376, 49.24213808790129]], ""type"": ""LineString""}";900;1974-01-01;blank;Steel;49.24214101645337, -123.1533637393813
"{""coordinates"": [[-123.2095087353198, 49.25833093888353], [-123.2095534021727, 49.25833130763948]], ""type"": ""LineString""}";600;1952-01-01;blank;Steel;49.258331123261506, -123.20953106874626
"{""coordinates"": [[-123.12136771082535, 49.20821721529139], [-123.11909378040316, 49.20916863055606]], ""type"": ""LineString""}";900;;blank;<blank>;49.208692922923724, -123.12023074561426
"{""coordinates"": [[-123.12047219579638, 49.247806985887884], [-123.12046741152753, 49.24793013559254]], ""type"": ""LineString""}";600;1977-01-01;Cement Lined;Ductile Iron;49.247868560740216, -123.12046980366196
"{""coordinates"": [[-123.12420777191903, 49.20722454292549], [-123.12451019141395, 49.20709773448213]], ""type"": ""LineString""}";850;1953-01-01;blank;<blank>;49.20716113870381, -123.12435898166649
"{""coordinates"": [[-123.12429016869419, 49.20686120627635], [-123.12449312448486, 49.20706419143157]], ""type"": ""LineString""}";450;1948-09-08;;Cast Iron;49.20696269885396, -123.12439164658953
"{""coordinates"": [[-123.13806730557633, 49.29376852921319], [-123.13809836352044, 49.29373045156843]], ""type"": ""LineString""}";1500;1939-01-01;blank;Steel;49.29374949039081, -123.13808283454838
"{""coordinates"": [[-123.12426382860883, 49.20735103743656], [-123.12422031902797, 49.20729531340861]], ""type"": ""LineString""}";450;1961-01-01;Cement Lined;Cast Iron;49.20732317542259, -123.1242420738184
