SUBSYSTEM;SIZE;OPEN_IND;X_OFFSET_FROM_PROP_LINE_M;X_OFFSET_DIRECTION;Y_OFFSET_FROM_PROP_LINE_M;Y_OFFSET_DIRECTION;Geom;Geo Local Area;geo_point_2d
Distribution;SMALL;OPEN;0.0;W;2.7;S;"{""coordinates"": [-123.16020531408175, 49.2630438603789], ""type"": ""Point""}";Kitsilano;49.2630438603789, -123.16020531408175
Distribution;SMALL;OPEN;0.0;W;6.4;N;"{""coordinates"": [-123.02783433551146, 49.24261030593878], ""type"": ""Point""}";Renfrew-Collingwood;49.24261030593878, -123.02783433551146
Distribution;SMALL;OPEN;0.0;E;6.4;N;"{""coordinates"": [-123.02759238270131, 49.242513512264914], ""type"": ""Point""}";Renfrew-Collingwood;49.242513512264914, -123.02759238270131
Distribution;SMALL;OPEN;1.8;W;0.0;N;"{""coordinates"": [-123.0283285942638, 49.24177975447907], ""type"": ""Point""}";Renfrew-Collingwood;49.24177975447907, -123.0283285942638
Distribution;SMALL;OPEN;0.0;E;5.2;N;"{""coordinates"": [-123.02839048348469, 49.24165470547656], ""type"": ""Point""}";Renfrew-Collingwood;49.24165470547656, -123.02839048348469
Distribution;SMALL;OPEN;0.0;W;2.7;S;"{""coordinates"": [-123.15783841294798, 49.26300711632706], ""type"": ""Point""}";Kitsilano;49.26300711632706, -123.15783841294798
Distribution;SMALL;OPEN;0.0;W;14.9;S;"{""coordinates"": [-123.1881524805242, 49.25802151935026], ""type"": ""Point""}";West Point Grey;49.25802151935026, -123.1881524805242
Distribution;SMALL;OPEN;6.7;W;0.0;N;"{""coordinates"": [-123.0748697426631, 49.24029988540111], ""type"": ""Point""}";Kensington-Cedar Cottage;49.24029988540111, -123.0748697426631
Distribution;SMALL;OPEN;0.3;E;2.4;S;"{""coordinates"": [-123.03694729289462, 49.2328731513284], ""type"": ""Point""}";Killarney;49.2328731513284, -123.03694729289462
Distribution;SMALL;OPEN;0.0;W;2.4;S;"{""coordinates"": [-123.03613262487063, 49.2325420149194], ""type"": ""Point""}";Killarney;49.2325420149194, -123.03613262487063
Distribution;SMALL;OPEN;1.2;E;2.4;S;"{""coordinates"": [-123.03494052146186, 49.23205888678584], ""type"": ""Point""}";Killarney;49.23205888678584, -123.03494052146186
Distribution;SMALL;OPEN;7.9;E;0.0;N;"{""coordinates"": [-123.03884138334294, 49.23120047431825], ""type"": ""Point""}";Killarney;49.23120047431825, -123.03884138334294
Distribution;SMALL;OPEN;0.0;W;7.4;N;"{""coordinates"": [-123.03113465807795, 49.26752498313341], ""type"": ""Point""}";Hastings-Sunrise;49.26752498313341, -123.03113465807795
Distribution;SMALL;OPEN;0.0;W;2.7;S;"{""coordinates"": [-123.02594813970813, 49.2445820777569], ""type"": ""Point""}";Renfrew-Collingwood;49.2445820777569, -123.02594813970813
Distribution;SMALL;OPEN;0.0;E;2.7;S;"{""coordinates"": [-123.03137635461285, 49.24459595997208], ""type"": ""Point""}";Renfrew-Collingwood;49.24459595997208, -123.03137635461285
Distribution;SMALL;OPEN;118.9;E;3.4;N;"{""coordinates"": [-123.06375764132575, 49.23199794818274], ""type"": ""Point""}";Victoria-Fraserview;49.23199794818274, -123.06375764132575
Distribution;SMALL;OPEN;0.0;E;3.4;N;"{""coordinates"": [-123.06221216393787, 49.23198527994123], ""type"": ""Point""}";Victoria-Fraserview;49.23198527994123, -123.06221216393787
Distribution;SMALL;OPEN;7.9;W;0.0;S;"{""coordinates"": [-123.07569910377515, 49.230530396600734], ""type"": ""Point""}";Victoria-Fraserview;49.230530396600734, -123.07569910377515
