DIAMETER_MM;INSTALLATION_DATE;MATERIAL;Geom;geo_point_2d
150;1949-01-01;Cast Iron;"{""coordinates"": [[-123.0964873271856, 49.252956246140116], [-123.09473774023087, 49.25292840560108]], ""type"": ""LineString""}";49.2529423258706, -123.09561253370823
150;;Cast Iron;"{""coordinates"": [[-123.12984029645632, 49.27738206969997], [-123.1299091687506, 49.277426347548854]], ""type"": ""LineString""}";49.27740420862442, -123.12987473260347
150;2005-04-12;Ductile Iron Concrete Lined;"{""coordinates"": [[-123.12982068557326, 49.27736946249412], [-123.12984029645632, 49.27738206969997]], ""type"": ""LineString""}";49.277375766097045, -123.12983049101477
150;1958-01-01;Cast Iron;"{""coordinates"": [[-123.08815239538451, 49.235631948030345], [-123.08806361923611, 49.235627122323066]], ""type"": ""LineString""}";49.235629535176706, -123.08810800731031
150;;Cast Iron;"{""coordinates"": [[-123.117357330842, 49.26578393113422], [-123.11735859676021, 49.26574973008617]], ""type"": ""LineString""}";49.2657668306102, -123.1173579638011
200;2005-03-24;Ductile Iron Concrete Lined;"{""coordinates"": [[-123.11981634274441, 49.2614997519716], [-123.11981651052784, 49.26149525419265]], ""type"": ""LineString""}";49.261497503082126, -123.11981642663612
200;1972-01-01;Ductile Iron;"{""coordinates"": [[-123.11981707824242, 49.261479961747064], [-123.11982852612174, 49.26117306028946]], ""type"": ""LineString""}";49.26132651101826, -123.11982280218209
150;1961-01-01;Cast Iron;"{""coordinates"": [[-123.09962171336225, 49.22013347894306], [-123.10057580972402, 49.22015337728075]], ""type"": ""LineString""}";49.22014342811191, -123.10009876154314
150;2005-05-09;Ductile Iron Concrete Lined;"{""coordinates"": [[-123.04454323722506, 49.24877088078613], [-123.04454740059514, 49.24877087918086], [-123.04457071836136, 49.2487710321016]], ""type"": ""LineString""}";49.248770944179356, -123.04455697783105
600;1969-01-01;Steel;"{""coordinates"": [[-123.0772838783348, 49.27146757707983], [-123.07728220970615, 49.27159620944879]], ""type"": ""LineString""}";49.27153189326431, -123.07728304402049
150;;Cast Iron;"{""coordinates"": [[-123.07720554292696, 49.268724014091774], [-123.0772096668755, 49.26872410128808]], ""type"": ""LineString""}";49.26872405768992, -123.07720760490123
150;;Cast Iron;"{""coordinates"": [[-123.11012663626039, 49.28144907620525], [-123.11020431680632, 49.28139765766804]], ""type"": ""LineString""}";49.28142336693664, -123.11016547653335
150;;Cast Iron;"{""coordinates"": [[-123.11020431680632, 49.28139765766804], [-123.11096778243953, 49.28089227049779]], ""type"": ""LineString""}";49.28114496408291, -123.11058604962292
200;1962-01-01;Cast Iron;"{""coordinates"": [[-123.06797003193498, 49.241621800640715], [-123.06791587719788, 49.24154347496193]], ""type"": ""LineString""}";49.24158263780132, -123.06794295456643
150;;Cast Iron;"{""coordinates"": [[-123.11980919741312, 49.26330010538395], [-123.11981530365337, 49.26314266493549]], ""type"": ""LineString""}";49.263221385159724, -123.11981225053324
150;1929-01-01;Cast Iron;"{""coordinates"": [[-123.08948716312918, 49.2129897992468], [-123.08948977263364, 49.21289129885867]], ""type"": ""LineString""}";49.21294054905273, -123.08948846788141
300;1959-01-01;Cast Iron;"{""coordinates"": [[-123.08527762902571, 49.23277559498511], [-123.08493408136644, 49.23277053188476]], ""type"": ""LineString""}";49.232773063434934, -123.08510585519608
450;1938-01-01;Steel;"{""coordinates"": [[-123.12092586137469, 49.28071331288509], [-123.12106929923269, 49.28061961281482]], ""type"": ""LineString""}";49.28066646284995, -123.12099758030368
200;;Cast Iron;"{""coordinates"": [[-123.03099686036762, 49.2829314345623], [-123.03094821277497, 49.28293122272237]], ""type"": ""LineString""}";49.282931328642334, -123.0309725365713
